model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
Centrality:CLUSTERING,1,4,66.26506024096386,11.11111111111111,4.761904761904762,6.666666666666667,0.5211640211640212,0.24015607637514616
RWR,1,4,76.30522088353415,100.0,6.349206349206349,11.940298507462686,0.9824202082266599,0.9500322799410025
LogReg,1,4,98.39357429718876,95.38461538461539,98.4126984126984,96.875,0.9988905956647892,0.9968993176555312
RandomForest,1,4,99.19678714859438,98.4126984126984,98.4126984126984,98.4126984126984,0.9993172896398703,0.9981117687322189
GradBoost,1,4,98.39357429718876,98.36065573770492,95.23809523809523,96.7741935483871,0.9995733060249188,0.9987705302605456
MLP,1,4,98.39357429718876,100.0,93.65079365079364,96.72131147540983,0.999231950844854,0.9979047293947448
GCN,1,4,77.10843373493977,52.67857142857143,93.65079365079364,67.42857142857143,0.9470046082949308,0.8861474299779077
GraphSAGE,1,4,99.19678714859438,100.0,96.82539682539682,98.38709677419355,1.0,1.0
GAT-LR,1,4,98.79518072289156,95.45454545454545,100.0,97.67441860465115,0.9949650110940433,0.9761393854637148
Majority,2,0,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,2,0,77.51004016064257,100.0,9.67741935483871,17.647058823529413,0.9956442987752286,0.9858278113050093
Centrality:BETWEENNESS,2,0,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.8927893738140418,0.74751466191238
Centrality:CLOSENESS,2,0,44.57831325301205,31.0,100.0,47.32824427480916,0.9827065723650164,0.95359724458552
Centrality:EIGENVECTOR,2,0,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9901673279282387,0.9714426183097522
Centrality:CLUSTERING,2,0,65.06024096385542,12.121212121212121,6.451612903225806,8.421052631578947,0.5661980334655856,0.253823194235522
RWR,2,0,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.97317578057616,0.9212663940469469
LogReg,2,0,98.39357429718876,93.93939393939394,100.0,96.875,0.9997412454717958,0.9992194275684834
RandomForest,2,0,97.99196787148594,96.72131147540983,95.16129032258065,95.9349593495935,0.9992237364153873,0.997721341555889
GradBoost,2,0,98.79518072289156,100.0,95.16129032258065,97.52066115702479,0.998533724340176,0.9959760491085092
MLP,2,0,98.39357429718876,98.33333333333333,95.16129032258065,96.72131147540983,0.9997412454717958,0.9992194275684834
GCN,2,0,83.13253012048193,60.0,96.7741935483871,74.07407407407408,0.9832672071761255,0.9662528599076018
GraphSAGE,2,0,100.0,100.0,100.0,100.0,1.0,1.0
GAT-LR,2,0,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9974987062273589,0.9915076470992867
Majority,2,1,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,2,1,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9949542867000173,0.9852929268399699
Centrality:BETWEENNESS,2,1,75.90361445783132,100.0,3.225806451612903,6.25,0.9322925651198896,0.8352656804624408
Centrality:CLOSENESS,2,1,63.05220883534136,40.25974025974026,100.0,57.407407407407405,0.9865447645333792,0.9665950089178388
Centrality:EIGENVECTOR,2,1,77.51004016064257,100.0,9.67741935483871,17.647058823529413,0.9938761428324996,0.9799739388128568
Centrality:CLUSTERING,2,1,63.45381526104418,6.0606060606060606,3.225806451612903,4.2105263157894735,0.43255131964809385,0.2059832521414812
RWR,2,1,77.51004016064257,100.0,9.67741935483871,17.647058823529413,0.9785233741590478,0.9479189288772948
LogReg,2,1,97.18875502008032,91.04477611940298,98.38709677419355,94.57364341085271,0.9981887183025703,0.9947510125234509
RandomForest,2,1,96.78714859437751,92.1875,95.16129032258065,93.65079365079364,0.9978437122649646,0.9938809205737952
GradBoost,2,1,97.18875502008032,95.08196721311475,93.54838709677419,94.3089430894309,0.9984474728307746,0.995439577673435
MLP,2,1,97.99196787148594,95.23809523809523,96.7741935483871,96.0,0.9980162152837675,0.9942638553420078
GCN,2,1,76.30522088353415,51.45631067961165,85.48387096774194,64.24242424242425,0.9073658789028808,0.7992958217311779
GraphSAGE,2,1,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9991374849059859,0.997450422646518
GAT-LR,2,1,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.9899948249094359,0.9495694471240465
Majority,2,2,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,2,2,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.9979730895290668,0.9927475234576003
