model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
Centrality:BETWEENNESS,2,2,75.50200803212851,100.0,1.6129032258064515,3.1746031746031744,0.8998619975849578,0.7583084502785001
Centrality:CLOSENESS,2,2,56.62650602409639,36.470588235294116,100.0,53.44827586206896,0.9725720200103501,0.9269925448780292
Centrality:EIGENVECTOR,2,2,78.3132530120482,100.0,12.903225806451612,22.857142857142858,0.9930136277384853,0.9805724220966117
Centrality:CLUSTERING,2,2,65.06024096385542,12.121212121212121,6.451612903225806,8.421052631578947,0.5166034155597723,0.23423732965741792
RWR,2,2,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9809384164222874,0.9485982158257553
LogReg,2,2,99.19678714859438,96.875,100.0,98.4126984126984,0.9999137484905986,0.9997439836149513
RandomForest,2,2,100.0,100.0,100.0,100.0,1.0,1.0
GradBoost,2,2,98.79518072289156,98.36065573770492,96.7741935483871,97.5609756097561,0.9998274969811972,0.9994838379333697
MLP,2,2,98.39357429718876,98.33333333333333,95.16129032258065,96.72131147540983,0.9992237364153873,0.9977640167430033
GCN,2,2,80.32128514056225,56.074766355140184,96.7741935483871,71.00591715976331,0.9749870622735898,0.9508245438787304
GraphSAGE,2,2,100.0,100.0,100.0,100.0,1.0,1.0
GAT-LR,2,2,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.997929963774366,0.9923431796004937
Majority,2,3,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,2,3,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9923236156632741,0.9780026734533497
Centrality:BETWEENNESS,2,3,75.50200803212851,100.0,1.6129032258064515,3.1746031746031744,0.9378989132309815,0.8359291597151337
