experiment,rep,fold,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
sfari,1,2,SFARI reports (diagnostic),83.47826086956522,100.0,20.833333333333336,34.48275862068966,0.8048305860805861,0.6536319779547941,67.6
sfari,1,2,LogReg,72.60869565217392,35.294117647058826,37.5,36.36363636363637,0.6586538461538461,0.3735611412207967,67.6
sfari,1,2,RandomForest,72.17391304347827,34.0,35.41666666666667,34.69387755102041,0.6544184981684982,0.31876976412695035,67.6
sfari,1,2,MLP,77.82608695652173,36.36363636363637,8.333333333333332,13.559322033898304,0.6353021978021979,0.33279903425571156,67.6
sfari,1,2,GCN,60.43478260869565,32.231404958677686,81.25,46.15384615384615,0.7377518315018315,0.4404036634352746,67.6
sfari,1,2,GraphSAGE,64.78260869565217,33.663366336633665,70.83333333333334,45.63758389261745,0.7383241758241759,0.435885276671792,67.6
sfari,1,2,GAT-LR,68.26086956521739,37.11340206185567,75.0,49.6551724137931,0.7448489010989011,0.46707007132323214,67.6
sfari,2,0,Majority,79.22077922077922,0.0,0.0,0.0,0.5,0.2077922077922078,68.8
sfari,2,0,Degree,79.22077922077922,50.0,6.25,11.11111111111111,0.663422131147541,0.3792161248177213,68.8
sfari,2,0,Eigenvector,79.65367965367966,57.14285714285714,8.333333333333332,14.545454545454545,0.6870446265938069,0.3964339551677202,68.8
sfari,2,0,SFARI reports (diagnostic),80.08658008658008,75.0,6.25,11.538461538461538,0.7668488160291438,0.5809551603374754,68.8
sfari,2,0,LogReg,70.56277056277057,35.714285714285715,52.083333333333336,42.3728813559322,0.6818078324225866,0.38380609720237885,68.8
sfari,2,0,RandomForest,70.995670995671,31.372549019607842,33.33333333333333,32.323232323232325,0.5831625683060109,0.2958117390159501,68.8
sfari,2,0,MLP,77.92207792207793,42.10526315789473,16.666666666666664,23.88059701492537,0.6253415300546449,0.3633393646437548,68.8
sfari,2,0,GCN,63.20346320346321,31.313131313131315,64.58333333333334,42.17687074829932,0.7115209471766849,0.4024997020847427,68.8
sfari,2,0,GraphSAGE,60.17316017316018,31.35593220338983,77.08333333333334,44.57831325301205,0.7085610200364297,0.4154857824049686,68.8
sfari,2,0,GAT-LR,60.17316017316018,30.357142857142854,70.83333333333334,42.5,0.6887522768670309,0.3886613911141974,68.8
sfari,2,3,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,66.8
sfari,2,3,Degree,80.43478260869566,63.63636363636363,14.583333333333334,23.728813559322035,0.6569940476190476,0.4171049341456236,66.8
sfari,2,3,Eigenvector,78.26086956521739,43.75,14.583333333333334,21.875,0.6902472527472528,0.3982575980138594,66.8
sfari,2,3,SFARI reports (diagnostic),82.17391304347827,100.0,14.583333333333334,25.454545454545453,0.8316163003663003,0.7385240194336283,66.8
sfari,2,3,LogReg,72.17391304347827,38.23529411764706,54.166666666666664,44.827586206896555,0.6655219780219781,0.40619421229229485,66.8
sfari,2,3,RandomForest,75.21739130434783,38.46153846153847,31.25,34.48275862068966,0.6319826007326007,0.3371594407400473,66.8
sfari,2,3,MLP,80.43478260869566,61.53846153846154,16.666666666666664,26.229508196721312,0.6733058608058607,0.39802561505283407,66.8
sfari,2,3,GCN,66.08695652173913,32.95454545454545,60.416666666666664,42.64705882352941,0.7309981684981685,0.39565552151777716,66.8
sfari,2,3,GraphSAGE,67.82608695652173,35.22727272727273,64.58333333333334,45.588235294117645,0.7324862637362638,0.45784950549259257,66.8
sfari,2,3,GAT-LR,66.08695652173913,35.84905660377358,79.16666666666666,49.35064935064935,0.7359203296703297,0.35915926782926927,66.8
sfari,2,1,Majority,79.56521739130434,0.0,0.0,0.0,0.5,0.20434782608695654,69.9
sfari,2,1,Degree,78.69565217391305,40.0,8.51063829787234,14.035087719298245,0.6700965004069295,0.33873734868134525,69.9
sfari,2,1,Eigenvector,78.69565217391305,43.75,14.893617021276595,22.22222222222222,0.6861992791535867,0.34384504323245446,69.9
sfari,2,1,SFARI reports (diagnostic),82.17391304347827,100.0,12.76595744680851,22.641509433962266,0.8008371119637251,0.6896930803900992,69.9
sfari,2,1,LogReg,70.0,30.357142857142854,36.17021276595745,33.00970873786408,0.6732938030461574,0.34291478184753776,69.9
sfari,2,1,RandomForest,69.56521739130434,27.450980392156865,29.78723404255319,28.57142857142857,0.613940239507034,0.28072422550019105,69.9
sfari,2,1,MLP,78.26086956521739,38.46153846153847,10.638297872340425,16.666666666666664,0.6477153819323335,0.343864374907414,69.9
sfari,2,1,GCN,55.65217391304348,27.27272727272727,70.2127659574468,39.285714285714285,0.6479479130333682,0.37715352746075764,69.9
sfari,2,1,GraphSAGE,66.52173913043478,31.25,53.191489361702125,39.37007874015748,0.6446924776188816,0.3547560893213272,69.9
sfari,2,1,GAT-LR,66.08695652173913,32.58426966292135,61.702127659574465,42.64705882352941,0.644808743169399,0.2988658543394711,69.9
sfari,2,2,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,68.2
sfari,2,2,Degree,80.8695652173913,70.0,14.583333333333334,24.137931034482758,0.6614010989010988,0.44201267254372195,68.2
sfari,2,2,Eigenvector,81.30434782608695,69.23076923076923,18.75,29.508196721311474,0.6568223443223444,0.43137452484732575,68.2
sfari,2,2,SFARI reports (diagnostic),81.30434782608695,100.0,10.416666666666668,18.867924528301888,0.7932692307692308,0.6966634845475288,68.2
sfari,2,2,LogReg,66.95652173913044,32.5,54.166666666666664,40.625,0.6625457875457875,0.43551453938415496,68.2
sfari,2,2,RandomForest,72.17391304347827,34.0,35.41666666666667,34.69387755102041,0.6470352564102564,0.40082909701148345,68.2
sfari,2,2,MLP,77.39130434782608,37.5,12.5,18.75,0.6088598901098902,0.34051998822371626,68.2
sfari,2,2,GCN,58.26086956521739,29.66101694915254,72.91666666666666,42.168674698795186,0.6945970695970697,0.4489363386816384,68.2
sfari,2,2,GraphSAGE,63.91304347826087,31.958762886597935,64.58333333333334,42.758620689655174,0.6925366300366301,0.418106807363544,68.2
sfari,2,2,GAT-LR,59.56521739130435,28.57142857142857,62.5,39.21568627450981,0.6665521978021979,0.36507198092021187,68.2
sfari,2,4,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,69.3
sfari,2,4,Degree,80.43478260869566,80.0,8.333333333333332,15.09433962264151,0.7332875457875456,0.5220676252523548,69.3
sfari,2,4,Eigenvector,80.8695652173913,75.0,12.5,21.428571428571427,0.7472527472527473,0.5289927553548642,69.3
sfari,2,4,SFARI reports (diagnostic),80.43478260869566,100.0,6.25,11.76470588235294,0.8711652930402929,0.7370379492162644,69.3
sfari,2,4,LogReg,73.47826086956522,39.682539682539684,52.083333333333336,45.04504504504504,0.7392399267399268,0.5309892877058436,69.3
sfari,2,4,RandomForest,72.60869565217392,35.84905660377358,39.58333333333333,37.62376237623762,0.6531593406593407,0.3816941829037057,69.3
sfari,2,4,MLP,79.13043478260869,50.0,14.583333333333334,22.58064516129032,0.6889880952380952,0.43562988885802345,69.3
sfari,2,4,GCN,65.21739130434783,35.96491228070175,85.41666666666666,50.617283950617285,0.8000228937728937,0.5505227809988296,69.3
sfari,2,4,GraphSAGE,71.73913043478261,39.75903614457831,68.75,50.38167938931297,0.7715201465201466,0.5216091537942098,69.3
sfari,2,4,GAT-LR,77.82608695652173,47.540983606557376,60.416666666666664,53.21100917431193,0.7892628205128205,0.5180841500158091,69.3
sfari,3,0,Majority,79.22077922077922,0.0,0.0,0.0,0.5,0.2077922077922078,71.2
sfari,3,0,Degree,79.65367965367966,53.333333333333336,16.666666666666664,25.396825396825395,0.6433287795992713,0.4090941199762914,71.2
sfari,3,0,Eigenvector,79.22077922077922,50.0,10.416666666666668,17.24137931034483,0.6572176684881603,0.38277127187893534,71.2
sfari,3,0,SFARI reports (diagnostic),80.51948051948052,80.0,8.333333333333332,15.09433962264151,0.8483606557377049,0.724620717491622,71.2
sfari,3,0,LogReg,68.3982683982684,32.3943661971831,47.91666666666667,38.655462184873954,0.6523224043715847,0.3832489979031962,71.2
sfari,3,0,RandomForest,69.6969696969697,27.083333333333332,27.083333333333332,27.083333333333332,0.5695582877959927,0.29717043824446693,71.2
sfari,3,0,MLP,76.62337662337663,33.33333333333333,12.5,18.181818181818183,0.6104280510018214,0.3234654764528403,71.2
sfari,3,0,GCN,66.66666666666666,34.065934065934066,64.58333333333334,44.60431654676259,0.7181238615664844,0.3990343804172732,71.2
sfari,3,0,GraphSAGE,69.6969696969697,36.904761904761905,64.58333333333334,46.96969696969697,0.7252959927140255,0.455252876038047,71.2
sfari,3,0,GAT-LR,63.63636363636363,30.851063829787233,60.416666666666664,40.845070422535215,0.67566029143898,0.30937191349728027,71.2
sfari,3,1,Majority,79.56521739130434,0.0,0.0,0.0,0.5,0.20434782608695654,70.9
sfari,3,1,Degree,79.56521739130434,50.0,4.25531914893617,7.8431372549019605,0.6728868736193465,0.3864319061714302,70.9
sfari,3,1,Eigenvector,79.56521739130434,50.0,8.51063829787234,14.545454545454545,0.6765492384606441,0.36325060265234543,70.9
sfari,3,1,SFARI reports (diagnostic),81.73913043478261,100.0,10.638297872340425,19.230769230769234,0.7933961167306127,0.6950120378659218,70.9
sfari,3,1,LogReg,71.73913043478261,35.0,44.680851063829785,39.25233644859813,0.6623648412975234,0.35328877700632505,70.9
sfari,3,1,RandomForest,70.0,27.083333333333332,27.659574468085108,27.368421052631582,0.5960353447273573,0.309345456419837,70.9
sfari,3,1,MLP,79.13043478260869,47.05882352941176,17.02127659574468,25.0,0.5980699918614114,0.30693192877688835,70.9
sfari,3,1,GCN,68.69565217391305,35.95505617977528,68.08510638297872,47.05882352941176,0.7194512266015579,0.35432453431452576,70.9
sfari,3,1,GraphSAGE,63.47826086956522,31.313131313131315,65.95744680851064,42.465753424657535,0.6882920590628997,0.4003208451447926,70.9
sfari,3,1,GAT-LR,59.56521739130435,31.451612903225808,82.97872340425532,45.614035087719294,0.6846878269968609,0.30267182781906515,70.9
sfari,3,3,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,70.1
sfari,3,3,Degree,80.43478260869566,71.42857142857143,10.416666666666668,18.181818181818183,0.7479967948717948,0.491646760823215,70.1
sfari,3,3,Eigenvector,83.04347826086956,84.61538461538461,22.916666666666664,36.0655737704918,0.7560668498168498,0.5153644452622131,70.1
sfari,3,3,SFARI reports (diagnostic),83.04347826086956,100.0,18.75,31.57894736842105,0.8645260989010989,0.7564859339550566,70.1
sfari,3,3,LogReg,70.43478260869566,36.11111111111111,54.166666666666664,43.333333333333336,0.7532051282051282,0.5043489373178539,70.1
sfari,3,3,RandomForest,76.08695652173914,43.859649122807014,52.083333333333336,47.61904761904761,0.7352907509157509,0.4557463899060089,70.1
sfari,3,3,MLP,78.69565217391305,46.666666666666664,14.583333333333334,22.22222222222222,0.6934523809523808,0.4344009496581515,70.1
sfari,3,3,GCN,56.086956521739125,30.075187969924812,83.33333333333334,44.19889502762431,0.7505723443223443,0.44986200672472065,70.1
sfari,3,3,GraphSAGE,70.0,39.39393939393939,81.25,53.06122448979592,0.8020833333333334,0.5458188780159616,70.1
sfari,3,3,GAT-LR,71.73913043478261,38.666666666666664,60.416666666666664,47.15447154471545,0.7366071428571428,0.4474159520904558,70.1
sfari,3,4,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,70.6
sfari,3,4,Degree,78.26086956521739,42.857142857142854,12.5,19.35483870967742,0.6907623626373625,0.3827520667808242,70.6
sfari,3,4,Eigenvector,78.69565217391305,47.82608695652174,22.916666666666664,30.985915492957744,0.7140567765567766,0.42487430786077385,70.6
sfari,3,4,SFARI reports (diagnostic),82.17391304347827,88.88888888888889,16.666666666666664,28.07017543859649,0.7603594322344323,0.5922203815541267,70.6
sfari,3,4,LogReg,71.30434782608695,35.9375,47.91666666666667,41.07142857142857,0.7023809523809523,0.40278105833467026,70.6
sfari,3,4,RandomForest,72.17391304347827,32.608695652173914,31.25,31.914893617021278,0.6086309523809523,0.31108679386010607,70.6
sfari,3,4,MLP,78.26086956521739,42.857142857142854,12.5,19.35483870967742,0.6415979853479854,0.3226089900099772,70.6
sfari,3,4,GCN,72.60869565217392,40.25974025974026,64.58333333333334,49.6,0.7458791208791209,0.4366128700659097,70.6
sfari,3,4,GraphSAGE,74.34782608695653,43.037974683544306,70.83333333333334,53.54330708661418,0.7670558608058609,0.4394575127770489,70.6
sfari,3,4,GAT-LR,63.04347826086957,32.38095238095238,70.83333333333334,44.44444444444444,0.7370650183150184,0.45664471606491513,70.6
sfari,4,0,Majority,79.22077922077922,0.0,0.0,0.0,0.5,0.2077922077922078,71.8
sfari,4,0,Degree,81.38528138528139,66.66666666666666,20.833333333333336,31.746031746031743,0.7074225865209471,0.46438303024738287,71.8
sfari,4,0,Eigenvector,80.95238095238095,66.66666666666666,16.666666666666664,26.666666666666668,0.711520947176685,0.46409575314212714,71.8
sfari,4,0,SFARI reports (diagnostic),80.08658008658008,100.0,4.166666666666666,8.0,0.8462545537340619,0.7489079063576393,71.8
sfari,4,0,LogReg,72.2943722943723,38.88888888888889,58.333333333333336,46.666666666666664,0.7117486338797815,0.4748008488861445,71.8
sfari,4,0,RandomForest,72.72727272727273,34.04255319148936,33.33333333333333,33.68421052631579,0.6147540983606558,0.3658064685626989,71.8
sfari,4,0,MLP,78.35497835497836,43.75,14.583333333333334,21.875,0.6435564663023678,0.3675836500191519,71.8
sfari,4,0,GCN,70.12987012987013,37.93103448275862,68.75,48.888888888888886,0.7355418943533697,0.44523204225474605,71.8
sfari,4,0,GraphSAGE,66.23376623376623,33.33333333333333,62.5,43.47826086956522,0.7134562841530054,0.46832842580462064,71.8
sfari,4,0,GAT-LR,64.93506493506493,31.03448275862069,56.25,40.0,0.6795309653916212,0.3303874740029077,71.8
sfari,3,2,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,74.1
sfari,3,2,Degree,80.0,75.0,6.25,11.538461538461538,0.6287202380952381,0.4113413013188744,74.1
sfari,3,2,Eigenvector,78.69565217391305,33.33333333333333,2.083333333333333,3.9215686274509802,0.6660943223443223,0.39779057110368615,74.1
sfari,3,2,SFARI reports (diagnostic),80.0,100.0,4.166666666666666,8.0,0.7969322344322344,0.6751355753874897,74.1
sfari,3,2,LogReg,70.43478260869566,35.714285714285715,52.083333333333336,42.3728813559322,0.6472069597069597,0.40451868756416387,74.1
