gene,ic,label,degree,score_LogReg,score_RandomForest,score_GradBoost,score_MLP,score_GCN,score_GraphSAGE,score_GAT-LR,sfari_score,eagle,syndromic
CLN8,0.0039437751004016,0,4,3.0872877760419906e-06,0.0,0.0001372717178319425,6.517408592836222e-08,0.015012187072215966,0.002136289152380455,0.023159317854151595,2.0,,0.0
LILRB2,0.0116787148594377,0,9,9.589392382456581e-05,0.0005,0.00016329637288484727,2.7012912656687585e-07,0.0204797729056736,0.00975736458291156,0.023129605732266308,2.0,,0.0
GRID2IP,0.0049317269076305,0,3,3.997856680573828e-06,0.0,0.00015563899743839042,2.014426858534898e-06,0.06799982348456979,0.002866461287782767,0.022933294241410208,2.0,,0.0
ALDH1A3,0.0098795180722891,0,4,4.6715947798842464e-05,0.001,0.00017226966203759742,4.278205062324991e-07,0.036118288393481635,0.011871052876413376,0.022857294009772516,,,1.0
PTCHD1,0.0454618473895582,0,27,0.18329330850583128,0.0175,0.00018510365371440844,0.007243470568186883,0.7737771272659302,0.030093802124611102,0.022684400534672022,1.0,5.2,0.0
ASAP2,0.0030441767068273,0,2,9.844642835310503e-07,0.0,0.0001607615697293103,9.144577388918908e-10,0.028642100500292193,0.003630081799449014,0.022524224845710705,2.0,,0.0
PHF12,0.0370441767068273,0,21,0.02812149884172179,0.0445,0.0004586330406985112,0.0004027702970664342,0.6599375978112221,0.0029973982218507444,0.022513392148539424,1.0,9.5,0.0
TGM1,0.0065461847389558,0,5,5.343950635862023e-06,0.0,0.00015768689074488788,2.4127553432322564e-09,0.031287569966174544,3.5865043737131085e-09,0.022393294881900574,3.0,,0.0
ZNF559,0.0044096385542168,0,7,3.7408457067015515e-06,0.0005,0.00015644560813080126,2.3436601422168745e-06,0.026704270394084503,0.006022019351899667,0.022380700916984013,2.0,,0.0
METTL14,0.0493092369477911,0,20,0.10289476001454384,0.06,0.0007661826141349864,0.001596748676714146,0.6819738894701004,0.002112505080731353,0.02237886813241019,3.0,,0.0
DIXDC1,0.0032851405622489,0,2,2.186740322874573e-06,0.0,0.00014610165672584356,2.1808540699451663e-09,0.06268672365695238,0.006509450529591547,0.022316623544774428,2.0,,0.0
WDR26,0.0206666666666666,0,14,0.0007056251377014633,0.0,0.0001519392564962362,3.0036616887732255e-06,0.3443540744483471,0.017191726015880704,0.022284461112576537,,,1.0
HTR1B,0.0401124497991967,0,21,0.010803928109911053,0.0,0.0001455188098242233,0.00015175938206908623,0.6602418050169945,0.004574934676344782,0.022138858686957974,2.0,,0.0
EPHA1,0.0424979919678714,0,23,0.04136834773429735,0.009000000000000001,0.00023506124544321095,0.0001440090187483319,0.650819219648838,0.01638237516681329,0.022067549020903243,2.0,,0.0
CHRM3,0.010867469879518,0,7,5.620931419816725e-05,0.0,0.00012253835361309624,1.1599404681588343e-06,0.13686672504991293,0.005430694423802318,0.021895605449971475,2.0,,0.0
MEGF11,0.0055983935742971,0,4,1.4177164521451863e-05,0.0,0.00014395132596698045,3.7694449088726603e-07,0.0043195689188579856,2.0931333889213594e-08,0.021801986200444507,2.0,,0.0
SLC7A3,0.0016706827309236,0,2,1.3795715978219617e-06,0.0,0.0001655836837755685,8.207217233188841e-07,0.044202155985175705,0.009234567234349018,0.021798435261301877,2.0,,0.0
FRK,0.0073092369477911,0,2,7.167860592657831e-06,0.0,0.0001710359194248526,2.3687646568602586e-08,0.34843381866812706,0.00014482970700757043,0.021761157254382484,2.0,,0.0
ROBO2,0.0277349397590361,0,26,0.012259107985897705,0.0005,0.00016710083196659435,8.4904593916674e-06,0.06393436633516103,0.019153332126279565,0.021757466802682757,2.0,,0.0
DEAF1,0.0024176706827309,0,3,4.4291106832771657e-07,0.0,0.00014700761483926852,5.391092003763091e-09,0.04510174621513535,1.9571422526244201e-10,0.021741941418277413,1.0,30.9,1.0
NUP133,0.0259598393574297,0,20,0.003660319931101189,0.0,0.00015836355124295521,1.5780255092801227e-05,0.06569580288487487,0.01492187640620557,0.021741253105574287,2.0,,0.0
LARP1,0.0502811244979919,0,24,0.10692051409369407,0.027500000000000004,0.00016806562267492655,0.0025098165484847765,0.6514389291405678,0.023743638366795494,0.021712114100685298,3.0,,0.0
PPM1D,0.0344658634538152,0,13,0.016674076072481347,0.0005,0.00013837271718195436,0.00013307430103168141,0.7941659539937973,0.014915641411334946,0.021711789309756882,2.0,,1.0
MTHFR,0.02714859437751,0,25,0.010280000183540354,0.0,0.00013827624668818326,4.4791826744591405e-05,0.060668457617669036,0.010738801307184076,0.021579587436957523,2.0,,0.0
TBC1D31,0.0021124497991967,0,2,1.716832200526365e-06,0.0,0.00014346956980603142,5.1900574856090223e-08,0.033453223866624526,0.0032750341415367368,0.021575795310125656,2.0,,0.0
MFRP,0.0032851405622489,0,1,1.0664384116286341e-06,0.0,0.00013844361936637972,2.2414232312072792e-09,0.02016185922548175,0.0009218025518605319,0.021572471093821488,2.0,,0.0
CTPS1,0.0173493975903614,0,16,0.0004864913054225433,0.001,0.00015277016546454678,9.98094660461773e-07,0.03861355634030703,0.018213717833852172,0.02154154456241031,3.0,,0.0
SKI,0.0171807228915662,0,5,0.0002769537887412944,0.0,0.0001391598914594635,2.3441481362132908e-06,0.472582682967186,0.0007298722366294384,0.021417749843578804,1.0,4.25,0.0
TMLHE,0.0026024096385542,0,2,2.064660689451051e-05,0.0,0.00014282626711155445,2.1640869633047297e-07,0.03172854955573712,0.002151830732231093,0.02138731160172269,2.0,,0.0
KCND3,0.0449718875502008,0,36,0.21738913375736704,0.162,0.023025850021969958,0.017935592662141397,0.6496285051107407,0.019964973697824462,0.021370797324335555,2.0,,0.0
TBCEL,0.0012369477911646,0,2,1.446934955683958e-08,0.0,0.00014790554493799784,1.258797035282521e-10,0.013534855701266224,0.0008718406219169015,0.021293803389438815,1.0,5.6,0.0
CMPK2,0.0035100401606425,0,4,1.8883566973031678e-06,0.0,0.00014549190034306847,2.91274983671535e-08,0.0006184106612399098,0.006282853675961179,0.02126117661758021,2.0,,0.0
CYP27A1,0.0019357429718875,0,3,1.6437226902031583e-07,0.0,0.00015061357852766714,2.210815663509667e-10,1.9727305317669054e-06,0.004407590837274766,0.02107767904702687,,,1.0
MACROD2,0.0169156626506024,0,14,0.0004759748982083009,0.0,0.00015228335116535102,2.417290338105671e-06,0.19136028550565243,0.009390568612670458,0.02100840899947798,2.0,,0.0
HECTD1,0.0144176706827309,0,9,0.00014867610266495947,0.0,0.00013047068784835525,2.8319016039938355e-06,0.03684574691578746,0.009009714471447024,0.020936884238011544,3.0,,0.0
PRKAR1B,0.0136385542168674,0,13,0.00015106200337443844,0.0,0.0001549876092373428,5.779931139311486e-07,0.044381098878147895,0.014125290559902595,0.020925068036741108,2.0,,0.0
STXBP5,0.026714859437751,0,20,0.003660232561595846,0.0005,0.00014917653826525162,5.392929828623349e-05,0.12653548724483699,0.014052319275962736,0.020785951937393188,2.0,,0.0
MYOCD,0.0334618473895582,0,12,0.009313436213615809,0.006,0.000142806965006633,3.991898020881187e-05,0.47605469077825546,0.01999887674572509,0.020753370349057044,3.0,,0.0
MARK1,0.0201606425702811,0,10,0.0003365481993575687,0.0,0.00013536995446406194,1.1058003898894652e-06,0.3977774530649185,0.014985741389054468,0.020716486556921154,2.0,,0.0
CHD2,0.0175261044176706,0,7,0.00030396144079267515,0.0,0.00016307844539145686,1.3475078864209263e-06,0.5286836288869381,0.007601175617621081,0.020705996012907235,1.0,25.0,1.0
HSD11B1,0.0083694779116465,0,8,2.525304249694649e-05,0.0,0.0001378273476165489,6.195190484819965e-08,0.017667991029156838,0.0023167452275177076,0.020672605467969188,2.0,,0.0
GPD2,0.0044979919678714,0,8,7.656922181669585e-06,0.005,0.00016747822753008048,5.378167963637342e-08,0.04862497984265479,0.010509302632399558,0.0205846508895983,2.0,,0.0
WWP1,0.0303212851405622,0,20,0.009872792629617466,0.0,0.00015814018142778051,9.850897680533453e-05,0.4462377429008484,0.009866563402322726,0.02057768181528119,3.0,,0.0
ABAT,0.0094779116465863,0,12,3.394157263308261e-05,0.0,0.0001511587773722228,9.856277761153397e-08,0.037586518035823246,0.003060892261974245,0.02057142298140926,2.0,,0.0
RLIM,0.0208995983935742,0,13,0.0006965567156933794,0.0,0.00016454050285001103,1.921732552184078e-06,0.10313523421064019,0.01869350356142263,0.020489707314482075,,,1.0
RSRC1,0.0208192771084337,0,16,0.000596112178837556,0.0,0.0001447590651787379,4.624453806819574e-06,0.03683201838975947,0.005582421811368655,0.02044178911899972,,,1.0
CNTN5,0.0149156626506024,0,12,0.00018334877749667653,0.0,0.00015681928036881957,1.1348837499526981e-05,0.04577405014230962,0.005749485902117473,0.02038693148806621,2.0,,0.0
FRMPD4,0.0171726907630522,0,7,8.363014815319977e-05,0.0,0.00014653165392683877,1.0780610970892084e-06,0.44977427646517754,0.006224066201895089,0.02023665222870029,,,1.0
TRPM7,0.0269397590361445,0,18,0.003053143343932453,0.0,0.00015370096848003962,1.0783679634311142e-05,0.20199959352612495,0.022410469142870038,0.020186329551506788,3.0,,0.0
SGSM3,0.0053012048192771,0,4,6.218395911368213e-06,0.0,0.00014726397394275095,8.387521179700606e-09,0.038167035984912445,0.004720869677067655,0.02009102689793474,2.0,,0.0
CAPRIN1,0.0341927710843373,0,22,0.016206273796260103,0.0,0.0001372688539700019,0.00011916057735561605,0.6882464364171028,0.014873227321317017,0.020062741823494434,1.0,5.5,0.0
KNG1,0.0402489959839357,0,33,0.10927997084084845,0.024,0.00030508545998904964,0.0012997393883636887,0.10835968935862184,0.013336558993615265,0.01992033215137133,3.0,,0.0
TPO,0.0098714859437751,0,8,3.755132712604611e-05,0.0,0.00011676014293825577,1.1687310942512958e-07,0.015391733995193696,0.0031682432972327383,0.01981423149845796,2.0,,0.0
MBD1,0.0143855421686746,0,8,0.00036722021986278414,0.0,0.0001400685070101798,2.128259266914691e-06,0.46795161068439484,0.004738212176587698,0.019802403480753128,2.0,,0.0
LAMB1,0.016,0,15,0.00034619964418596444,0.0,0.0001470399898805295,1.6701526753521475e-06,0.04440029714896809,0.012104640714824201,0.01979844945738079,2.0,,0.0
PDZD8,0.0035582329317269,0,3,3.257149236885521e-06,0.0,0.00012703307355696925,1.2824805531334315e-08,0.029774137335835584,0.003892144609748628,0.01974254048020945,,,1.0
