experiment,rep,fold,model,choice,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
tuning,0,1,LogReg,{'C': 10.0},97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.9992237364153872,0.9977295941973919,741.5
tuning,0,1,Degree,none,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.9949111609453165,0.9828841647243829,741.5
tuning,1,2,GAT-LR,"(0.01, 8, 4, 0.2, 300)",97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9946524064171123,0.9854003124223609,680.6
tuning,1,2,GraphSAGE,"(0.01, 8, 4, 0.2, 300)",98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9998274969811971,0.9994838379333696,680.6
tuning,1,2,MLP,"{'hidden_layer_sizes': (16,), 'alpha': 0.0001}",97.18875502008032,93.65079365079364,95.16129032258065,94.39999999999999,0.9988787303777816,0.9967957205288693,680.6
tuning,1,2,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 5}",97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.9993099879247886,0.997921452976271,680.6
tuning,1,2,LogReg,{'C': 0.01},95.98393574297188,87.14285714285714,98.38709677419355,92.42424242424242,0.9990512333965844,0.9974434420140916,680.6
tuning,1,2,Degree,none,84.73895582329317,100.0,38.70967741935484,55.81395348837209,0.9946524064171123,0.9820744266052446,680.6
tuning,1,3,GAT-LR,"(0.01, 16, 4, 0.2, 300)",97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9945661549077108,0.9769973101680088,685.7
tuning,1,3,GraphSAGE,"(0.01, 16, 4, 0.2, 300)",98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9997412454717958,0.9992555831265508,685.7
tuning,1,3,MLP,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9994824909435915,0.9984622098757817,685.7
tuning,1,3,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",98.39357429718876,93.93939393939394,100.0,96.875,0.999698119717095,0.9989954374449692,685.7
tuning,1,3,LogReg,{'C': 10.0},97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9993099879247888,0.997977222554166,685.7
tuning,1,3,Degree,none,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9966793168880456,0.9889062921943965,685.7
