stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000160373	9606.ENSP00000490107	CTTNBP2	SCN2A	9606	0.426	0	0	0	0.086	0	0	0.398
9606.ENSP00000160373	9606.ENSP00000383303	CTTNBP2	DSCAM	9606	0.43	0	0	0	0.068	0	0	0.413
9606.ENSP00000160373	9606.ENSP00000495240	CTTNBP2	CHD8	9606	0.433	0	0	0	0.058	0	0	0.422
9606.ENSP00000160373	9606.ENSP00000281928	CTTNBP2	MED13L	9606	0.447	0	0	0	0	0	0	0.447
9606.ENSP00000160373	9606.ENSP00000340373	CTTNBP2	DYRK1A	9606	0.461	0	0	0	0	0	0	0.461
9606.ENSP00000160373	9606.ENSP00000383295	CTTNBP2	NBEA	9606	0.47	0	0	0	0.084	0	0	0.445
9606.ENSP00000160373	9606.ENSP00000269197	CTTNBP2	ASXL3	9606	0.477	0	0	0	0.085	0	0	0.452
9606.ENSP00000160373	9606.ENSP00000362863	CTTNBP2	REEP3	9606	0.52	0	0	0	0	0	0	0.52
9606.ENSP00000160373	9606.ENSP00000317272	CTTNBP2	MET	9606	0.556	0	0	0	0.057	0	0	0.549
9606.ENSP00000160373	9606.ENSP00000333496	CTTNBP2	KCND2	9606	0.702	0	0	0	0.099	0	0	0.683
9606.ENSP00000160373	9606.ENSP00000311344	CTTNBP2	PPP2R1B	9606	0.994	0	0	0	0	0.994	0	0.162
9606.ENSP00000160373	9606.ENSP00000324804	CTTNBP2	PPP2R1A	9606	0.995	0	0	0	0	0.994	0	0.262
9606.ENSP00000160373	9606.ENSP00000418447	CTTNBP2	PPP2CA	9606	0.995	0	0	0	0	0.994	0	0.3
9606.ENSP00000160382	9606.ENSP00000352035	ACTL6B	KCNQ2	9606	0.4	0	0	0	0.342	0	0	0.125
9606.ENSP00000160382	9606.ENSP00000440542	ACTL6B	CHD4	9606	0.414	0	0	0	0.067	0.113	0	0.349
9606.ENSP00000160382	9606.ENSP00000354207	ACTL6B	NTRK3	9606	0.415	0	0	0	0.149	0.07	0	0.32
9606.ENSP00000160382	9606.ENSP00000376204	ACTL6B	ASH1L	9606	0.42	0	0	0	0.068	0.054	0.36	0.094
9606.ENSP00000160382	9606.ENSP00000352162	ACTL6B	ELAVL3	9606	0.443	0	0	0	0.348	0.042	0	0.179
9606.ENSP00000160382	9606.ENSP00000254810	ACTL6B	H3-3B	9606	0.468	0	0	0	0.068	0.282	0	0.269
9606.ENSP00000160382	9606.ENSP00000497479	ACTL6B	MYT1L	9606	0.484	0	0	0	0.268	0	0	0.325
9606.ENSP00000160382	9606.ENSP00000490107	ACTL6B	SCN2A	9606	0.52	0	0	0	0.23	0	0	0.402
9606.ENSP00000160382	9606.ENSP00000287239	ACTL6B	KAT6B	9606	0.53	0	0	0	0.103	0.405	0	0.19
9606.ENSP00000160382	9606.ENSP00000364550	ACTL6B	KDM5C	9606	0.532	0	0	0	0.059	0.098	0	0.493
