gene,sfari_symbols,sfari_score,eagle,syndromic,n_reports
H4C11,H4C11,,,1,4
H4C3,H4C3,,,1,3
H4C5,H4C5,,,1,6
HACE1,HACE1,3.0,,0,13
HCFC1,HCFC1,,,1,14
HCN1,HCN1,3.0,,0,15
HDAC4,HDAC4,2.0,,1,19
HDAC8,HDAC8,,3.7,1,13
HDLBP,HDLBP,1.0,1.25,0,7
HECTD1,HECTD1,3.0,,0,7
HECTD4,HECTD4,1.0,,0,14
HECW2,HECW2,2.0,,0,25
HEPACAM,HEPACAM,,,1,14
HERC1,HERC1,2.0,,1,15
HERC2,HERC2,,,1,17
HIVEP2,HIVEP2,1.0,,1,20
HIVEP3,HIVEP3,2.0,,0,14
HLA-A,HLA-A,2.0,,0,12
HLA-B,HLA-B,2.0,,0,6
HLA-DPB1,HLA-DPB1,2.0,,0,2
HLA-DRB1,HLA-DRB1,2.0,,0,12
HLA-G,HLA-G,2.0,,0,5
HMGN1,HMGN1,2.0,,0,1
HNRNPD,HNRNPD,2.0,,1,5
HNRNPF,HNRNPF,2.0,,0,5
HNRNPH2,HNRNPH2,1.0,,0,22
HNRNPK,HNRNPK,2.0,,1,15
HNRNPL,HNRNPL,3.0,,0,2
HNRNPR,HNRNPR,2.0,4.6,1,10
HNRNPU,HNRNPU,1.0,38.8,1,44
HNRNPUL2,HNRNPUL2,2.0,,1,4
HOMER1,HOMER1,2.0,,0,6
HOXA1,HOXA1,,,1,17
HRAS,HRAS,1.0,,0,14
HS3ST5,HS3ST5,2.0,,0,9
HSD11B1,HSD11B1,2.0,,0,9
HTR1B,HTR1B,2.0,,0,6
HTR2C,HTR2C,3.0,0.1,0,2
HTR3A,HTR3A,2.0,,0,10
HTR3C,HTR3C,3.0,,0,8
HUWE1,HUWE1,,,1,30
HYDIN,HYDIN,2.0,,0,7
ICA1,ICA1,2.0,,0,10
IGF1,IGF1,3.0,,0,8
IKZF1,IKZF1,3.0,,0,7
IL1R2,IL1R2,2.0,,0,9
IL1RAPL1,IL1RAPL1,2.0,,0,32
IL1RAPL2,IL1RAPL2,2.0,,0,3
ILF2,ILF2,2.0,,0,6
IMMP2L,IMMP2L,2.0,,0,17
INPP1,INPP1,2.0,,0,6
INTS1,INTS1,,,1,15
INTS6,INTS6,2.0,,0,7
IQGAP3,IQGAP3,2.0,,0,8
IQSEC2,IQSEC2,1.0,,1,62
IRF2BPL,IRF2BPL,1.0,9.0,1,22
IRX5,IRX5,3.0,,1,3
ITGA8,ITGA8,3.0,,0,8
ITGB3,ITGB3,2.0,,0,23
ITPR1,ITPR1,2.0,,0,24
ITSN1,ITSN1,2.0,,0,12
JARID2,JARID2,2.0,,0,20
JMJD1C,JMJD1C,2.0,,0,12
KANK1,KANK1,2.0,,0,16
KANSL1,KANSL1,1.0,1.1,1,14
KAT2B,KAT2B,2.0,,0,8
KAT6A,KAT6A,2.0,,1,39
KAT6B,KAT6B,3.0,,0,15
KATNAL1,KATNAL1,2.0,,0,4
KATNAL2,KATNAL2,1.0,4.1,0,20
KCNA2,KCNA2,3.0,,0,12
KCNA3,KCNA3,3.0,,0,2
KCNB1,KCNB1,1.0,,1,35
KCNC1,KCNC1,2.0,,0,13
KCNC2,KCNC2,3.0,,0,16
KCND2,KCND2,2.0,,0,11
KCND3,KCND3,2.0,,0,15
KCNH1,KCNH1,3.0,,1,6
KCNH5,KCNH5,3.0,,0,6
KCNH7,KCNH7,3.0,,0,11
KCNJ10,KCNJ10,2.0,,0,16
KCNJ15,KCNJ15,2.0,,0,3
KCNMA1,KCNMA1,2.0,,0,36
KCNN2,KCNN2,3.0,,0,5
KCNQ2,KCNQ2,1.0,,0,72
KCNQ3,KCNQ3,1.0,11.1,0,24
KCNS3,KCNS3,2.0,,0,7
KCTD13,KCTD13,2.0,,0,9
KDM1A,KDM1A,3.0,,0,6
KDM1B,KDM1B,2.0,,0,3
KDM2A,KDM2A,3.0,,0,12
KDM2B,KDM2B,1.0,,0,16
KDM3A,KDM3A,3.0,,0,4
KDM3B,KDM3B,1.0,1.5,1,8
KDM4B,KDM4B,2.0,,0,7
KDM4C,KDM4C,2.0,,0,4
KDM5A,KDM5A,2.0,,0,6
KDM5B,KDM5B,1.0,3.05,0,32
KDM5C,KDM5C,1.0,,0,55
KDM6A,KDM6A,2.0,,0,17
KDM6B,KDM6B,1.0,13.75,0,34
KHDRBS2,KHDRBS2,2.0,,0,4
