gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,degree
CHD4,0.09163987138263666,0.009572504676773466,0.4174496644295302,0.09120092882948609,0.19732960720385034,114
CHD7,0.0297427652733119,0.0020467819313204276,0.3898464431212786,0.044388117148971416,0.4024024024024024,37
CHD8,0.09083601286173633,0.013272389533225896,0.45007235890014474,0.10365102223045973,0.2147597977243995,113
CHD9,0.02170418006430868,0.0002605230976668898,0.36110304789550074,0.027446666813867225,0.42450142450142453,27
CHKB,0.002411575562700965,1.8048202607132217e-05,0.2906542056074766,0.0005220573396805126,0.3333333333333333,3
CHM,0.013665594855305467,0.0030092343246183218,0.34298318169285913,0.002987932010061821,0.08823529411764706,17
CHMP1A,0.001607717041800643,6.51441851777679e-05,0.2617845117845118,0.00011829054315539637,0.0,2
CHRM3,0.005627009646302251,2.4510624066297934e-05,0.32311688311688314,0.0026499074475063917,0.47619047619047616,7
CHRNA7,0.003215434083601286,1.2296209394783456e-05,0.2996146435452794,0.0012992690467009556,0.16666666666666666,4
CHRNB3,0.00482315112540193,4.3347541790674435e-05,0.30655495317890585,0.0013980368336698535,0.26666666666666666,6
CIB2,0.007234726688102894,8.909132958741173e-05,0.3378598587724063,0.0036473997265468083,0.16666666666666666,9
CIC,0.001607717041800643,4.822515226982752e-06,0.28247048138056313,0.00030336182214461805,0.0,2
CLASP1,0.005627009646302251,0.00016859421125386268,0.32153011113982943,0.0019679881928517657,0.047619047619047616,7
CLCN4,0.0040192926045016075,5.6550834576830095e-05,0.30341463414634146,0.0008476980475451857,0.1,5
CLIP2,0.0040192926045016075,4.3544239412558485e-05,0.30906832298136644,0.0010231713207516412,0.3,5
CLN8,0.003215434083601286,5.111433446409757e-05,0.2921559417566933,0.0007293256754191394,0.3333333333333333,4
CLTC,0.04421221864951769,0.005718339464693045,0.4177300201477502,0.031060368396924273,0.1717171717171717,55
CLTCL1,0.023311897106109324,0.0018060815313158947,0.38182934315531003,0.012402927779406802,0.26354679802955666,29
CMIP,0.007234726688102894,0.000287912299592289,0.3362162162162162,0.002754496888249206,0.1388888888888889,9
CMPK2,0.003215434083601286,0.00017820686438215183,0.2861085556577737,0.0002499770969158121,0.3333333333333333,4
CNGB3,0.00482315112540193,0.00013223529260965298,0.30077369439071566,0.0005463492366754945,0.26666666666666666,6
CNKSR2,0.018488745980707395,0.0006902924119988836,0.38288704216682057,0.017479957602793292,0.30039525691699603,23
CNOT1,0.02652733118971061,0.0011185720807626433,0.3798473282442748,0.020247127830213336,0.2556818181818182,33
CNOT3,0.01527331189710611,0.0017776759216464367,0.3507189173949817,0.012278644668797113,0.30409356725146197,19
CNR1,0.02572347266881029,0.0008246872314208359,0.3882646691635456,0.02104074394957267,0.33064516129032256,32
CNTN3,0.008842443729903537,0.0017673461224640278,0.3319103521878335,0.003687105343812438,0.32727272727272727,11
CNTN4,0.03697749196141479,0.00458151889813953,0.38669567920422754,0.02002707153955665,0.26763285024154587,46
CNTN5,0.00964630225080386,0.00015012367792719474,0.3277997364953887,0.003538142151397051,0.4696969696969697,12
CNTN6,0.00964630225080386,0.00030623199671934537,0.35532704941445303,0.006259553889393673,0.2727272727272727,12
CNTNAP2,0.07315112540192927,0.01900736469530644,0.42661179698216734,0.04791685537028469,0.21562881562881564,91
CNTNAP3,0.0008038585209003215,0.0,0.24924864756561813,6.257291327696765e-05,0.0,1
CNTNAP4,0.012861736334405145,0.000333474129546184,0.3404488232074439,0.005477036481962658,0.25,16
CNTNAP5,0.007234726688102894,0.0016545678999133483,0.324380704041721,0.002585448413235857,0.2777777777777778,9
COL12A1,0.007234726688102894,0.0008677732424018243,0.3216132368148914,0.0016562743738359048,0.16666666666666666,9
COL28A1,0.001607717041800643,0.0,0.25330889839136633,8.301455778196527e-05,1.0,2
